Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Total
2022,3,Buenos Aires,339648,2748325,1436433,126846,4721668
2022,3,Capital Federal,140791,1240125,129218,5758,1547679
2022,3,Catamarca,10010,10495,46224,1329,70293
2022,3,Chaco,27164,61800,44645,8178,144146
2022,3,Chubut,45377,72212,9574,29784,165778
2022,3,Córdoba,163770,465461,338570,61070,1038668
2022,3,Corrientes,36508,77140,18619,7256,144846
2022,3,Entre Ríos,60345,132952,36971,26098,268959
2022,3,Formosa,14470,25880,11041,16935,68538
2022,3,Jujuy,19257,52978,40172,4033,118823
2022,3,La Pampa,7796,60078,23551,20216,116092
2022,3,La Rioja,6842,53899,19697,6395,86864
2022,3,Mendoza,37659,78858,142615,27625,289523
2022,3,Misiones,35513,88902,39046,11074,182157
2022,3,Neuquén,29352,75815,29396,27482,163161
2022,3,Río Negro,35552,48260,41017,16760,160558
2022,3,Salta,40006,96984,50254,10082,204541
2022,3,San Juan,38570,22723,12328,21860,103399
2022,3,San Luis,6860,29363,248,70614,122070
2022,3,Santa Cruz,10170,24047,10815,3896,49510
2022,3,Santa Fe,183740,426255,215189,43079,887810
2022,3,Santiago Del Estero,15385,80937,13170,6618,119032
2022,3,Tierra Del Fuego,12754,39963,403,125,53896
2022,3,Tucumán,77738,18518,162345,3997,263117
2022,2,Buenos Aires,350652,2719613,1399043,126847,4667183
2022,2,Capital Federal,145491,1232226,121506,5757,1536771
2022,2,Catamarca,11928,9430,42087,1329,67008
2022,2,Chaco,29552,61284,42194,8178,143564
2022,2,Chubut,45377,69242,9574,29784,162805
2022,2,Córdoba,179181,467595,308895,61107,1026435
2022,2,Corrientes,38468,75769,18181,7256,144997
2022,2,Entre Ríos,63794,131029,35839,26098,269352
2022,2,Formosa,15397,25487,9875,16910,67881
2022,2,Jujuy,20303,54495,34184,3955,115314
2022,2,La Pampa,7796,59273,22994,20200,111527
2022,2,La Rioja,7759,52656,19189,6395,86030
2022,2,Mendoza,37663,77504,135504,26964,279562
2022,2,Misiones,37208,89260,33649,11074,178813
2022,2,Neuquén,29749,74905,28824,27371,161968
2022,2,Río Negro,36050,47040,40946,16760,159764
2022,2,Salta,42665,96178,47076,10068,203177
2022,2,San Juan,38570,19734,12328,21859,100407
2022,2,San Luis,6860,29034,248,70614,121741
2022,2,Santa Cruz,10170,23725,10815,3896,49185
2022,2,Santa Fe,198492,428233,189503,43081,878859
2022,2,Santiago Del Estero,16561,80338,11605,6618,118044
2022,2,Tierra Del Fuego,12754,39837,403,125,53770
2022,2,Tucumán,85893,15327,148823,3997,254527
2022,1,Buenos Aires,392045,2728865,1242121,125521,4555424
2022,1,Capital Federal,102290,1217225,62308,5784,1417541
2022,1,Catamarca,14181,15517,29118,1328,62378
2022,1,Chaco,32391,64546,36662,8164,144119
2022,1,Chubut,44133,66667,9184,30592,171628
2022,1,Córdoba,195610,501799,235838,60843,1003803
2022,1,Corrientes,40462,79093,10875,6774,142578
2022,1,Entre Ríos,67159,138986,23091,26098,267926
2022,1,Formosa,16397,15927,5146,16876,54548
2022,1,Jujuy,21307,60616,25949,4662,116509
2022,1,La Pampa,8003,58978,21739,19903,109732
2022,1,La Rioja,9103,59228,9546,6395,84303
2022,1,Mendoza,49464,74145,123228,26969,275185
2022,1,Misiones,39147,91752,25178,7807,171508
2022,1,Neuquén,28443,73200,24193,23098,149679
2022,1,Río Negro,38662,45366,38037,16815,157374
2022,1,Salta,44714,98667,40994,5950,197515
2022,1,San Juan,34038,14449,11294,20723,88178
2022,1,San Luis,7987,11296,31,71809,119844
2022,1,Santa Cruz,10537,23420,10766,3974,49102
2022,1,Santa Fe,213486,444609,146552,45261,870479
2022,1,Santiago Del Estero,18118,87979,1093,6349,116461
2022,1,Tierra Del Fuego,13031,38700,416,124,52611
2022,1,Tucumán,92532,62396,86174,3995,245584
2021,4,Buenos Aires,426325,2706506,1176024,126887,4509157
2021,4,Capital Federal,111360,1205128,60005,5679,1412119
2021,4,Catamarca,16385,13858,25100,1512,59090
2021,4,Chaco,35548,63145,34688,8005,143745
2021,4,Chubut,46361,57412,9655,28041,160308
2021,4,Córdoba,212011,487489,217214,61277,986770
2021,4,Corrientes,42523,71183,10138,6778,135912
2021,4,Entre Ríos,70459,133387,23452,25022,265046
2021,4,Formosa,17211,15111,5151,16018,53663
2021,4,Jujuy,22330,60511,24156,2927,113915
2021,4,La Pampa,8175,58000,20192,19286,107007
2021,4,La Rioja,10387,56651,9446,6613,83128
2021,4,Mendoza,59842,71553,109667,24666,267587
2021,4,Misiones,41778,92068,22035,7649,171132
2021,4,Neuquén,29175,72761,23253,21531,147466
2021,4,Río Negro,42037,44495,32212,16558,153753
2021,4,Salta,46972,99808,39555,5882,199405
2021,4,San Juan,35868,13102,11072,11423,79958
2021,4,San Luis,8472,11064,30,70560,118849
2021,4,Santa Cruz,10790,22902,10031,4346,48486
2021,4,Santa Fe,233427,444373,128856,43556,866441
2021,4,Santiago Del Estero,19032,86563,1088,6256,115861
2021,4,Tierra Del Fuego,13317,38148,426,124,52357
2021,4,Tucumán,97830,59022,78790,2511,238639
2021,3,Buenos Aires,585729,2595485,885613,120228,4251609
2021,3,Capital Federal,142902,1192107,42966,6059,1413405
2021,3,Catamarca,18413,11709,22331,1568,56254
2021,3,Chaco,38258,63659,27583,8018,139871
2021,3,Chubut,49269,55794,8946,23376,156066
2021,3,Córdoba,229275,477223,167495,57617,946788
2021,3,Corrientes,44805,69403,7542,6766,133819
2021,3,Entre Ríos,74443,128752,20485,23500,260375
2021,3,Formosa,18093,14111,4730,15690,52795
2021,3,Jujuy,23554,60758,19926,2952,111158
2021,3,La Pampa,9015,57881,17817,14479,100487
2021,3,La Rioja,11329,54744,9444,6613,82160
2021,3,Mendoza,91474,71247,70579,21811,255939
2021,3,Misiones,43230,89469,10969,7198,158528
2021,3,Neuquén,29650,73794,16455,19270,139809
2021,3,Río Negro,47934,44519,18725,15031,144585
2021,3,Salta,49212,98318,36126,5724,195833
2021,3,San Juan,40072,12922,6670,11372,79483
2021,3,San Luis,8417,11884,27,68856,117864
2021,3,Santa Cruz,12347,22961,6328,4269,48976
2021,3,Santa Fe,245929,443156,93412,43447,841584
2021,3,Santiago Del Estero,19939,85535,909,6147,115458
2021,3,Tierra Del Fuego,12853,36958,6,16,50223
2021,3,Tucumán,104489,53868,70964,2408,232472
2021,2,Buenos Aires,603255,2503830,854173,113546,4132351
2021,2,Capital Federal,148989,1175097,41318,5580,1400355
2021,2,Catamarca,20305,9426,22331,1449,55744
